PSIS_REFYEAR_D_CODE,PSIS_PROVOFSTUDY_CODE,PSIS_PRGCODECIP6_D_CODE,PSIS_PCSCE_D_CODE,PSIS_GENDER_CODE,_COUNT_
,12,52.1302,76,,0
,12,52.1302,76,1,0
,12,52.1302,76,2,0
,12,52.1302,86,,0
,12,52.1302,86,1,0
,12,52.1302,86,2,0
,13,,,,45
,13,,,1,15
,13,,,2,30
,13,,66,,10
,13,,66,1,0
,13,,66,2,10
,13,,76,,25
,13,,76,1,10
,13,,76,2,15
,13,,86,,10
,13,,86,1,5
,13,,86,2,5
,13,26.1102,,,0
,13,26.1102,,1,0
,13,26.1102,,2,0
,13,26.1102,66,,0
,13,26.1102,66,1,0
,13,26.1102,66,2,0
,13,26.1102,76,,0
,13,26.1102,76,1,0
,13,26.1102,76,2,0
,13,26.1102,86,,0
,13,26.1102,86,1,0
,13,26.1102,86,2,0
,13,27.0501,,,40
,13,27.0501,,1,15
,13,27.0501,,2,25
,13,27.0501,66,,5
,13,27.0501,66,1,0
,13,27.0501,66,2,5
,13,27.0501,76,,25
,13,27.0501,76,1,10
,13,27.0501,76,2,15
,13,27.0501,86,,10
,13,27.0501,86,1,5
,13,27.0501,86,2,5
,13,27.0502,,,5
,13,27.0502,,1,0
,13,27.0502,,2,5
,13,27.0502,66,,5
,13,27.0502,66,1,0
,13,27.0502,66,2,5
,13,27.0502,76,,0
,13,27.0502,76,1,0
,13,27.0502,76,2,0
,13,27.0502,86,,0
,13,27.0502,86,1,0
,13,27.0502,86,2,0
,13,27.0599,,,0
,13,27.0599,,1,0
,13,27.0599,,2,0
,13,27.0599,66,,0
,13,27.0599,66,1,0
,13,27.0599,66,2,0
,13,27.0599,76,,0
,13,27.0599,76,1,0
,13,27.0599,76,2,0
,13,27.0599,86,,0
,13,27.0599,86,1,0
,13,27.0599,86,2,0
,13,27.9999,,,0
,13,27.9999,,1,0
,13,27.9999,,2,0
,13,27.9999,66,,0
,13,27.9999,66,1,0
,13,27.9999,66,2,0
,13,27.9999,76,,0
,13,27.9999,76,1,0
,13,27.9999,76,2,0
,13,27.9999,86,,0
,13,27.9999,86,1,0
,13,27.9999,86,2,0
,13,52.1302,,,0
,13,52.1302,,1,0
,13,52.1302,,2,0
,13,52.1302,66,,0
,13,52.1302,66,1,0
,13,52.1302,66,2,0
,13,52.1302,76,,0
,13,52.1302,76,1,0
,13,52.1302,76,2,0
,13,52.1302,86,,0
,13,52.1302,86,1,0
,13,52.1302,86,2,0
,24,,,,2225
,24,,,1,1255
,24,,,2,970
,24,,66,,1350
,24,,66,1,730
,24,,66,2,620
,24,,76,,685
,24,,76,1,390
,24,,76,2,295
,24,,86,,190
,24,,86,1,135
,24,,86,2,55
,24,26.1102,,,200
,24,26.1102,,1,90
,24,26.1102,,2,110
,24,26.1102,66,,0
,24,26.1102,66,1,0
,24,26.1102,66,2,0
,24,26.1102,76,,115
,24,26.1102,76,1,50
,24,26.1102,76,2,65
,24,26.1102,86,,85
,24,26.1102,86,1,40
,24,26.1102,86,2,45
,24,27.0501,,,1920
,24,27.0501,,1,1105
,24,27.0501,,2,815
,24,27.0501,66,,1250
,24,27.0501,66,1,675
,24,27.0501,66,2,575
,24,27.0501,76,,565
,24,27.0501,76,1,335
,24,27.0501,76,2,230
,24,27.0501,86,,105
,24,27.0501,86,1,95
,24,27.0501,86,2,10
,24,27.0502,,,100
,24,27.0502,,1,55
,24,27.0502,,2,45
,24,27.0502,66,,100
,24,27.0502,66,1,55
,24,27.0502,66,2,45
,24,27.0502,76,,0
,24,27.0502,76,1,0
,24,27.0502,76,2,0
,24,27.0502,86,,0
,24,27.0502,86,1,0
,24,27.0502,86,2,0
,24,27.0599,,,0
,24,27.0599,,1,0
,24,27.0599,,2,0
,24,27.0599,66,,0
,24,27.0599,66,1,0
,24,27.0599,66,2,0
,24,27.0599,76,,0
,24,27.0599,76,1,0
,24,27.0599,76,2,0
,24,27.0599,86,,0
,24,27.0599,86,1,0
,24,27.0599,86,2,0
,24,27.9999,,,0
,24,27.9999,,1,0
,24,27.9999,,2,0
,24,27.9999,66,,0
,24,27.9999,66,1,0
,24,27.9999,66,2,0
,24,27.9999,76,,0
,24,27.9999,76,1,0
,24,27.9999,76,2,0
,24,27.9999,86,,0
,24,27.9999,86,1,0
,24,27.9999,86,2,0
,24,52.1302,,,5
,24,52.1302,,1,5
,24,52.1302,,2,0
,24,52.1302,66,,0
,24,52.1302,66,1,0
,24,52.1302,66,2,0
,24,52.1302,76,,5
,24,52.1302,76,1,5
,24,52.1302,76,2,0
,24,52.1302,86,,0
,24,52.1302,86,1,0
,24,52.1302,86,2,0
,35,,,,8280
,35,,,1,4480
,35,,,2,3800
,35,,66,,6025
,35,,66,1,3185
,35,,66,2,2840
,35,,76,,1315
,35,,76,1,715
,35,,76,2,600
,35,,86,,940
,35,,86,1,580
,35,,86,2,360
,35,26.1102,,,110
,35,26.1102,,1,50
,35,26.1102,,2,60
,35,26.1102,66,,10
,35,26.1102,66,1,5
,35,26.1102,66,2,5
,35,26.1102,76,,35
,35,26.1102,76,1,10
,35,26.1102,76,2,25
,35,26.1102,86,,65
,35,26.1102,86,1,35
,35,26.1102,86,2,30
,35,27.0501,,,6860
,35,27.0501,,1,3660
,35,27.0501,,2,3200
,35,27.0501,66,,5390
,35,27.0501,66,1,2840
,35,27.0501,66,2,2550
,35,27.0501,76,,850
,35,27.0501,76,1,450
,35,27.0501,76,2,400
,35,27.0501,86,,620
,35,27.0501,86,1,370
,35,27.0501,86,2,250
,35,27.0502,,,1235
,35,27.0502,,1,720
,35,27.0502,,2,515
,35,27.0502,66,,550
,35,27.0502,66,1,290
,35,27.0502,66,2,260
,35,27.0502,76,,430
,35,27.0502,76,1,255
,35,27.0502,76,2,175
,35,27.0502,86,,255
,35,27.0502,86,1,175
